Variable ID;m/z;RT;Class;Fish;clarkii1norm;Peak YES/NO;Comment
X1.pos;407.1129235;2.04;Unknown;Damselfish;1.601541257;NO;
X1004.pos;231.073496;1.23;Unknown;all fish;6.519233884;NO;
X1009.pos;388.2546271;1.49;Unknown;all fish;1372.500557;YES;
X1013.pos;134.1174227;4.84;Unknown;all fish;242.7866531;YES;
X1014.pos;177.0615504;10.41;Unknown;all fish;50.2729146;YES;
X1016.pos;192.1236984;7.61;Unknown;Clownfish;6583.467029;NO;
X102.pos;207.03656;1.98;Unknown;Clownfish;0.001468727;NO;
X1024.pos;273.1449711;6.89;Unknown;all fish;1051.617506;YES;
X1025.pos;112.0504173;5.83;Unknown;all fish;1753.794717;YES;
X1026.pos;114.0910314;0.82;Unknown;all fish;829.924407;YES;multipeak
X1027.pos;283.1757802;1.1;Unknown;all fish;387.4938052;YES;double peak
X1029.pos;120.0808422;5.99;Unknown;all fish;925.9000263;YES;
X103.pos;303.1561512;6.99;Unknown;Clownfish;0.001462076;NO;! Other peak at 7.8 
X1033.pos;166.0866054;1.03;Unknown;all fish;1577.115428;YES;
X1034.pos;268.1038409;1.07;Unknown;Clownfish;5.09900756;NO;
X1036.pos;121.084255;5.92;Unknown;Clownfish;60.25644079;YES;
X1037.pos;134.0805184;7.47;Unknown;Clownfish;104.0620194;NO;! Other peak at 4.9 
X1039.pos;400.3420522;2.27;Unknown;all fish;223.3060782;YES;
X104.pos;563.1909337;9.14;Unknown;Clownfish;0.233146085;NO;
X1043.pos;371.2280656;1.49;Unknown;all fish;195.8753897;YES;beginning of peak a bit noisy
X1045.pos;103.0536439;5.98;Unknown;all fish;111.1590756;YES;
X1048.pos;121.0393122;2.09;Unknown;all fish;874.919227;YES;bigger peak at 1.3
X105.pos;258.1118339;9.13;Unknown;Clownfish;1660.850321;YES;
X1054.pos;222.1701727;4.99;Unknown;all fish;34.49231867;YES;
X1055.pos;139.0506818;2.09;Carboxylic acid;all fish;10653.79531;YES;
X1057.pos;206.1396666;1.46;Unknown;all fish;354.0823353;YES;
X106.pos;316.9831185;6.88;Unknown;Clownfish;339.4369586;YES;double peak
X1061.pos;281.1113017;7.57;Unknown;all fish;34.71373251;YES;
X1062.pos;314.2334711;2.87;Unknown;Clownfish;16.48293234;NO;
X1065.pos;174.1122259;1.2;Unknown;all fish;94.55584904;YES;
X1070.pos;232.1189857;4.87;Unknown;all fish;47.0543428;YES;
X1072.pos;703.5759647;4.52;Unknown;all fish;1840.534166;YES;
X1075.pos;432.2804485;1.12;Unknown;all fish;753.907474;NO;
X1076.pos;308.1050401;6.84;Unknown;Clownfish;5.425307944;YES;
X1077.pos;255.1095994;1.03;Unknown;all fish;7.699408937;NO;
X1079.pos;511.2014349;8.18;Unknown;all fish;52.02292123;YES;
X1080.pos;210.113731;6.86;Unknown;Clownfish;4.703926382;NO;contamination
X1082.pos;406.1319576;8.78;Unknown;all fish;27.80026764;YES;
X1085.pos;241.1554322;5.99;Unknown;Clownfish;222.8872337;YES;
X1086.pos;496.3414501;4.83;Glycerophospholipids;all fish;11057.30716;YES;
X1088.pos;103.9555938;1.31;Unknown;all fish;18.77141987;NO;contamination
X975.pos;478.1606994;1.135625;;;;NO;
X494.pos;274.9039716;4.252883333;;;;NO;
X109.pos;296.0667658;9.13;Unknown;all fish;305.1634923;YES;
X1091.pos;170.117811;5.97;Unknown;Clownfish;627.7900338;NO;
X1093.pos;102.1279381;2.54;Unknown;all fish;621.162803;NO;
X1095.pos;204.1237475;5.92;Carnitines;Clownfish;41.26601435;YES;
X1096.pos;136.0483428;7.74;Unknown;all fish;1.678780564;NO;
X1099.pos;368.1794233;7.31;Unknown;all fish;0.085463687;NO;
X11.pos;171.065253;2.05;Unknown;Damselfish;34.86952933;NO;
X1100.pos;126.0658306;4.89;Unknown;all fish;33.73655617;NO;
X1101.pos;109.076334;7.84;Unknown;all fish;0.469653058;YES;
X1102.pos;132.0772076;7.75;Unknown;all fish;20.23407305;NO;
X1103.pos;144.9818642;12.23;Unknown;all fish;123.2879207;NO;contamination
X1104.pos;156.0769163;10.19;amino acids and derivatives;all fish;174.4651196;YES;
X1105.pos;432.280762;1.56;Unknown;all fish;1102.352139;YES;
X1108.pos;495.3273121;4.86;Unknown;all fish;55.61292206;YES;beginning of peak a bit noisy
X1110.pos;469.3119031;4.93;Glycerophospholipids;all fish;27.63489657;NO;
X1113.pos;538.424353;4.76;Unknown;all fish;29.6417028;NO;
X1114.pos;244.0935279;5.84;Unknown;all fish;82.06689471;YES;
X1115.pos;164.1180784;5.99;Unknown;Clownfish;47.67197569;YES;
X1119.pos;263.994082;1.91;Unknown;all fish;2146.923645;YES;
X1120.pos;242.1178004;1.67;Unknown;all fish;85.59321678;YES;
X1123.pos;259.129954;7.57;Unknown;all fish;463.282459;YES;
